name,brewery_type,address_1,city,state_province,postal_code,longitude,latitude,state,zip_code,brewery_id,Incomplete,Population  , Population Density per km2 , Population Density per mile2 , Target population percentage  , TOTAL Brew Population Age Bracket population  ,male_brew_age,Median Income 12 mths ,Total: - white households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households:
The Mitten Brewing Company - Saugatuck,brewpub,329 Water St,Saugatuck,Michigan,49453,-86.20524129,42.65689129,Michigan,49453,7031,,"2,950",105,40,22%,1041,644,38097,1161,22,16,403
The Mitten Brewing Company Production Facility,micro,540 Leonard St NW,Grand Rapids,Michigan,49504-4260,-85.68100276,42.98491266,Michigan,49504,7032,,"41,249","1,416",547,20%,16645,8441,29112,13850,466,1325,6704
The Neighborhood Beer Co.,micro,156 Epping Rd,Exeter,New Hampshire,03833-4521,-70.97431918,42.99880009,New Hampshire,3833,7033,,"22,662",178,69,18%,8453,4188,47727,8505,171,548,3238
The New Buffalo Brewing Co. Inc,contract,11163 Main St,Clarence,New York,14031-1701,-78.57052941,42.98442517,New York,14031,7034,,"9,983",192,74,19%,3151,1885,40641,3893,176,253,1463
The Norwich Inn - Jasper Murdock's Alehouse,brewpub,325 Main St,Norwich,Vermont,05055-9453,-72.3091387,43.7150119,Vermont,5055,7036,,"3,503",33,13,20%,1276,690,50313,1192,44,115,331
The Olde Mecklenburg Brewery,regional,4150 Yancey Rd,Charlotte,North Carolina,28217-1738,-80.88195345,35.18741705,North Carolina,28217,7038,,"28,955",810,313,29%,14689,8370,29242,3582,339,478,1809
The Other Side of the Moon - Jamestown,brewpub,103 W Main St,Jamestown,North Carolina,27282,-79.93765165,35.99284597,North Carolina,27282,7041,,"15,966",394,152,18%,5735,2899,44426,4808,70,362,1650
The Outlaw Brewing Company,micro,215 Scotland Rd,Winchester,New Hampshire,03470-3006,-72.35620045,42.75012519,New Hampshire,3470,7042,,"4,993",22,9,17%,1642,870,31301,1869,50,189,732
The Parlor,brewpub,205 Lake Ave,Traverse City,Michigan,49684-2532,-85.6204308,44.7601402,Michigan,49684,7044,,"22,025",157,60,18%,7309,3983,32631,8575,350,632,3546
The Peddler,brewpub,835 3rd Ave,Huntington,West Virginia,25701,-82.44527196,38.42165769,West Virginia,25701,7046,,"22,342",212,82,19%,7335,4195,23765,8069,273,715,4063
The Peoples Pint / Franklin County Brewing Co,brewpub,76 Hope St,Greenfield,Massachusetts,01301-3573,-72.59769229,42.58187599,Massachusetts,1301,7047,,"18,042",273,105,19%,6837,3408,30890,7476,467,746,3606
The Perch Pub & Brewery,brewpub,232 S Wall St,Chandler,Arizona,85225-9528,-111.8424808,33.3000878,Arizona,85225,7048,,"73,551","2,230",861,23%,33103,16959,36703,19967,1220,2878,6999
The Phoenix Ale Brewery,micro,3002 E Washington St # 3002,Phoenix,Arizona,85034-1518,-111.9642922,33.4457883,Arizona,85034,7049,,"5,033",167,64,24%,2097,1218,25625,1280,106,237,811
The Phoenix Brewing Company,micro,131 N Diamond St,Mansfield,Ohio,44902-1331,-82.51395188,40.76201837,Ohio,44902,7050,,"4,891","1,076",415,26%,2066,1270,15325,1073,62,220,487
The Phoenix On Westheimer,brewpub,1915 Westheimer Rd,Houston,Texas,77098-1521,-95.4966157,29.7377481,Texas,77098,7051,,"15,717","3,376",1304,27%,8388,4318,78401,6394,110,235,3822
The Portsmouth Brewery,brewpub,56 Market St,Portsmouth,New Hampshire,03801-3750,-70.7576875,43.0780072,New Hampshire,3801,7053,,"22,767",372,144,22%,10020,5034,52684,9880,296,611,4867
The Post Brewing Co,brewpub,2027 13th St,Boulder,Colorado,80302-5201,-105.2788942,40.01847649,Colorado,80302,7054,,"27,322",122,47,18%,8786,4857,23379,10858,129,408,7191
The Post Brewing Co,brewpub,105 W Emma St,Lafayette,Colorado,80026-1501,-105.0913165,39.99461105,Colorado,80026,7055,,"32,318",559,216,22%,13940,7202,52624,11847,721,935,4435
The Proper Brewing Company,brewpub,117 W Broad St,Quakertown,Pennsylvania,18951-1200,-75.34137437,40.44177523,Pennsylvania,18951,7057,,"36,111",197,76,20%,13522,7189,40484,12970,587,1143,4177
The Public Option,brewpub,1601 Rhode Island Ave NE,Washington,District of Columbia,20018-1841,-76.9817377,38.926148,District of Columbia,20018,7058,,"20,646","2,569",992,25%,9260,5253,49424,1282,46,98,381
The Rare Barrel,micro,940 Parker St,Berkeley,California,94710,-122.2914445,37.8576209,California,94710,7060,,"9,552","1,440",556,21%,3834,2044,53967,1878,146,168,899
The Ravenous Pig / Cask & Larder,brewpub,565 W Fairbanks Ave,Winter Park,Florida,32789-5005,-81.3558211,28.5933111,Florida,32789,7061,,"26,399","1,277",493,17%,9267,4578,47818,9471,289,581,4254
The Red Baron,brewpub,2495 S Center Rd,Burton,Michigan,48519-1145,-83.63373728,42.9924788,Michigan,48519,7062,,"7,825",374,144,16%,2511,1289,26398,2688,134,377,1154
The Red Yeti,brewpub,256 Spring St,Jeffersonville,Indiana,47130-3340,-85.7401585,38.2718249,Indiana,47130,7063,,"48,481",545,210,20%,19270,9862,32436,15324,893,1721,5274
The Runway By Patrick,brewpub,2044 Airport Rd,Napa,California,94558-6208,-122.2730244,38.2171014,California,94558,7067,,"65,473",64,25,20%,24918,13137,43181,19077,706,1557,6030
The Sandlot Brewery At Coors Field,large,2145 Blake St,Denver,Colorado,80205-2010,-104.9926484,39.75571836,Colorado,80205,7068,,"34,967","2,810",1085,33%,21001,11591,50317,10282,246,659,6814
"The Sanford Beverage Company, Inc. D.B.A. Steele Street Brewing",brewpub,300 S Steele St,Ionia,Michigan,48846-2008,-85.06766243,42.98135831,Michigan,48846,7069,,"22,470",73,28,28%,9295,6198,29322,6241,297,593,2375
Hand of Fate Brewing Co,micro,107 E Douglas Ave,Petersburg,Illinois,62675-1558,-89.92105943,38.59194278,Illinois,62675,3320,INCOMPLETE,,20,8,,,,,,,,
The St. George Brewing Company,micro,204 Challenger Way,Hampton,Virginia,23666-1365,-76.39442194,37.09992525,Virginia,23666,7075,,"52,845","1,064",411,20%,21805,10684,34054,7969,299,527,3547
The Stalking Horse,brewpub,10543 West Pico Blvd,Los Angeles,California,90064,-118.3273271,34.0478786,California,90064,7076,,"27,553","2,608",1007,23%,12037,6357,64086,7609,252,391,3696
The Station U Brew,micro,211 W Stewart,Puyallup,Washington,98371-4393,-122.2913497,47.19252511,Washington,98371,7078,,"23,965",742,286,21%,9742,5038,43627,7625,417,679,2518
The Sycamore Brewing Cannery,micro,401 W 24th St,Charlotte,North Carolina,28206-2664,-80.825601,35.246262,North Carolina,28206,7079,,"14,053",709,274,25%,6148,3535,27951,1246,17,45,881
The Tap Brewery,brewpub,204 W Kirkwood Ave,Bloomington,Indiana,47404-5144,-86.5350444,39.16650797,Indiana,47404,7081,,"23,799",176,68,22%,9337,5149,28067,9585,213,984,4542
The Tap Brewing Company,brewpub,100 Washington St,Haverhill,Massachusetts,01832-5500,-71.084935,42.7728879,Massachusetts,1832,7082,,"25,656",868,335,19%,10095,4999,33711,7676,288,1185,2906
Crafty Ales and Lagers,micro,2 Exchange St,Phelps,New York,14532-1010,-77.056976,42.9579011,New York,14532,1935,INCOMPLETE,,39,15,,,,,,,,
The Vegetable Hunter,brewpub,614 N 2nd St,Harrisburg,Pennsylvania,17101-1001,-76.8881545,40.2638045,Pennsylvania,17101,7085,,"2,901","1,655",639,32%,1093,914,39024,1064,0,0,1043
The Veil Brewing Company,micro,1301 Roseneath Rd,Richmond,Virginia,23230-4623,-77.4753435,37.56830695,Virginia,23230,7086,,"8,263",671,259,23%,3729,1896,40331,2710,36,178,1809
The Viking Braggot Company,micro,520 Commercial St Unit F,Eugene,Oregon,97402-5347,-123.0910621,44.03170858,Oregon,97402,7087,,"56,610",297,115,22%,23067,12469,28127,18871,779,2729,8597
The Woodburn Brewery,micro,2800 Woodburn Ave,Cincinnati,Ohio,45206-1793,-84.4768398,39.1289592,Ohio,45206,7092,,"10,670","1,936",747,24%,4654,2508,37493,3169,57,187,2042
The Wrecking Bar Brewpub,brewpub,292 Moreland Ave NE,Atlanta,Georgia,30307-1953,-84.3496422,33.762309,Georgia,30307,7094,,"20,807","1,759",679,29%,11462,5970,74691,7265,179,255,3205
There Does Not Exist,planning,,San Luis Obispo,California,93401,-120.6596156,35.2827525,California,93401,7095,,"29,877",172,67,19%,10760,5777,42263,10837,325,926,5122
These Guys Brewing Company,brewpub,78 Franklin St,Norwich,Connecticut,06360-5806,-72.07474352,41.52487646,Connecticut,6360,7096,,"37,104",538,208,21%,15217,7815,32934,11496,722,1785,4874
Thew Brewing Company,micro,301 2nd Ave,Cedar Rapids,Iowa,52404,-91.67294,42.035746,Iowa,52404,7097,,"43,385",276,107,20%,16270,8825,32761,14696,978,1262,6851
Thimble Island Brewery,micro,16 Business Park Dr,Branford,Connecticut,06405-2924,-72.77202768,41.29695786,Connecticut,6405,7098,,"28,171",502,194,18%,9842,5031,49474,11379,473,1221,4493
Thin Man Brewery,brewpub,486 Elmwood Ave,Buffalo,New York,14222-2014,-78.87720285,42.91037815,New York,14222,7099,,"13,629","4,974",1920,31%,7742,4189,40319,5433,191,237,3371
Third Base Brewery,brewpub,500 Blairs Ferry Rd NE Ste 2,Cedar Rapids,Iowa,52402-1466,-91.639755,42.035164,Iowa,52402,7101,,"42,072","1,203",465,21%,16855,8634,37699,15510,716,1704,6861
Third Monk Brewing Co,micro,228 S Lafayette St,South Lyon,Michigan,48178-1406,-83.65116644,42.45482138,Michigan,48178,7103,,"36,858",295,114,19%,13450,6862,55508,12608,276,816,3190
Third Rail Beer,contract,928 Broadway Ste 902,New York,New York,10010-8139,-73.9893474,40.7400479,New York,10010,7106,,"33,991","34,754",13419,24%,16156,8270,82019,11974,275,389,7076
Third Space Brewing,micro,1505 W Saint Paul Ave,Milwaukee,Wisconsin,53233,-87.9146199,43.0346679,Wisconsin,53233,7107,,"15,531","3,222",1244,21%,4505,3262,8854,1790,28,26,1625
Third State Brewing,micro,352 High St,Burlington,New Jersey,08016-4412,-74.85841925,40.07803141,New Jersey,8016,7108,,"34,617",615,237,19%,13109,6490,42227,7071,270,744,2333
Bar Hygge / Brewery Techne,brewpub,1720 Fairmount Ave,Philadelphia,Pennsylvania,19130-2858,-75.16567302,39.96707286,Pennsylvania,19130,597,INCOMPLETE,,"9,166",3539,,,,,,,,
Third Street Brewhouse,regional,219 Red River Ave N,Cold Spring,Minnesota,56320-1624,-94.42888016,45.45859495,Minnesota,56320,7110,,"7,985",62,24,18%,2822,1477,41438,2985,91,291,641
Third Wheel Brewing,brewpub,4008 N Service Rd,Saint Peters,Missouri,63376-6462,-90.57023315,38.79578116,Missouri,63376,7111,,"76,064",722,279,20%,29271,15073,42329,26449,1171,2135,7854
Third Window Brewing,brewpub,406 E Haley St Ste 3,Santa Barbara,California,93101-1740,-119.6905176,34.42106268,California,93101,7112,,"30,513","3,791",1464,26%,13939,7830,34454,9345,381,637,5524
Thirsty Bro Brewing,micro,141 E Main St,Royse City,Texas,75189-3712,-96.33193039,32.97521439,Texas,75189,7113,,"37,777",124,48,21%,15262,7881,45570,9298,270,561,1659
Crime & Punishment Brewing Company,brewpub,2711 W Girard Ave,Philadelphia,Pennsylvania,19130-1212,-75.1808422,39.9743646,Pennsylvania,19130,1958,INCOMPLETE,,"9,166",3539,,,,,,,,
Thirsty Monk Brewery,brewpub,92 Patton Ave,Asheville,North Carolina,28801-3315,-82.55531475,35.59410425,North Carolina,28801,7116,,"15,148","1,088",420,25%,6597,3769,29537,4991,106,206,3151
Thirsty Monk Pub Brewery,micro,1604 E 17th Ave,Denver,Colorado,80218-1621,-104.9682508,39.743154,Colorado,80218,7117,,"19,484","4,638",1791,34%,12387,6565,54543,9852,119,281,7385
Thirsty Pagan Brewing Co,brewpub,1623 Broadway St,Superior,Wisconsin,54880-1616,-92.1021385,46.7267785,Wisconsin,54880,7119,,"30,400",70,27,20%,12122,6177,31636,12373,648,1308,5630
Greenwood Brewing LLC,contract,600 N 4th St Apt 210,Phoenix,Arizona,85004-4489,-112.0700713,33.46372057,Arizona,85004,3221,INCOMPLETE,,"1,706",659,,,,,,,,
Thirsty Souls Community Brewing,micro,238 Market St,Mount Airy,North Carolina,27030-3514,-80.6087621,36.5008814,North Carolina,27030,7121,,"36,995",81,31,18%,12540,6484,24762,13486,494,1605,4676
Thirsty Street Brewing,brewpub,3008 1st Ave N,Billings,Montana,59101-2134,-108.5083676,45.78076846,Montana,59101,7122,,"41,522",27,10,20%,16320,8270,29173,14380,706,1839,6456
ThirstyBear Organic Brewery,brewpub,661 Howard St,San Francisco,California,94105-3915,-122.399512,37.785543,California,94105,7123,,"14,841","10,569",4081,34%,9736,5098,157257,3392,0,44,2152
Pinehurst Brewery,planning,,Pinehurst,North Carolina,28374,-79.46654106,35.19372834,North Carolina,28374,5477,INCOMPLETE,,342,132,,,,,,,,
Thomas Hooker Brewing Co LLC,micro,16 Tobey Rd,Bloomfield,Connecticut,06002-3522,-72.7115431,41.8089235,Connecticut,6002,7125,,"21,579",322,124,19%,8108,4133,40560,3469,187,147,1724
Thompson Brewing Co,brewpub,9900 Indiana Ave Ste 7,Riverside,California,92503-5498,-117.4495247,33.90930805,California,92503,7126,,"90,011","1,015",392,22%,38219,19867,31722,12892,746,1948,2767
Thorn Brewing Co,micro,1745 National Ave.,San Diego,California,92113-1010,-117.147735,32.702171,California,92113,7127,,"50,457","4,405",1701,24%,22393,11909,22320,7705,654,2069,1289
Thorn Street Brewery,micro,3174 Thorn St,San Diego,California,92104-4636,-117.125379,32.739337,California,92104,7128,,"44,265","4,784",1847,34%,27819,15035,47188,15862,435,1173,9827
Thornapple Brewing Company,micro,6262 28th st SE,Grand rapids,Michigan,49546,-85.6506666,42.9128114,Michigan,49546,7129,,"35,536",740,286,15%,10933,5507,40833,11056,283,697,3738
Thr3e Punks Ale,micro,259 Third Ave,Chula Vista,California,91910-2721,-117.080107,32.642827,California,91910,7131,,"79,613","2,340",904,21%,30934,16651,34684,14599,786,2292,4492
Three 3's Brewery,micro,50 13th St,Hammonton,New Jersey,08037-1559,-74.81147261,39.6385625,New Jersey,8037,7133,,"23,814",75,29,20%,8805,4777,32727,7545,449,969,2568
Three Barrel Brewing Co,brewpub,475 Grand Ave,del Norte,Colorado,81132-2204,-106.3567109,37.6790756,Colorado,81132,7134,,"2,977",2,1,24%,1117,710,29073,1340,31,74,699
Three Blondes Brewing,brewpub,1875 Phoenix St,South Haven,Michigan,49090-7151,-86.2642391,42.4033183,Michigan,49090,7135,,"13,286",66,25,14%,3724,1913,31006,4982,116,426,1939
Three Bridges Brewing / Off the Wagon Brewery,brewpub,2107 Tamiami Trl S,Venice,Florida,34293-5011,-82.3913649,27.0497931,Florida,34293,7136,,"44,935",529,204,13%,10880,5794,37825,20356,711,1031,6428
Three Bull Brewing Co,micro,809 19th St,Snohomish,Washington,98290-1444,-122.0917086,47.93474746,Washington,98290,7137,,"37,535",127,49,22%,15317,8280,49402,12743,463,1027,3337
Three Creeks Brewing Co,brewpub,721 Desperado Ct,Sisters,Oregon,97759-9514,-121.534944,44.285254,Oregon,97759,7138,,"7,787",5,2,13%,1957,991,33923,3127,15,129,713
Three Creeks Production,micro,265 E. Barclay Dr.,Sisters,Oregon,97759-9514,-121.5480908,44.29710192,Oregon,97759,7139,,"7,787",5,2,13%,1957,991,33923,3127,15,129,713
Three Forks Bakery & Brewing Company,brewpub,211 Commercial St,Nevada City,California,95959-2506,-121.017467,39.26299798,California,95959,7142,,"18,621",23,9,18%,5691,3397,30638,7001,204,502,2639
Three Four Beer Company,brewpub,829 S Shields St,Fort Collins,Colorado,80521-3599,-105.0959634,40.5726176,Colorado,80521,7143,,"37,451","1,043",403,18%,11890,6664,18194,12404,340,491,8086
Three Heads Brewing,micro,186 Atlantic Ave,Rochester,New York,14607-1213,-77.58034655,43.15611755,New York,14607,7144,,"16,298","4,004",1546,36%,10199,5900,37257,9172,163,311,7231
Three Huskies Brewing & Dobber's Grill,brewpub,401 Lakeshore Dr,Canandaigua,New York,14424-2338,-77.251124,42.8723885,New York,14424,7145,,"28,353",85,33,19%,10046,5356,35906,11808,516,1217,4893
Three Mile Brewing Co,micro,231 G St,Davis,California,95616-4549,-121.739122,38.54403522,California,95616,7147,,"51,003",683,264,13%,13619,6789,22805,11685,208,669,6160
Three Monkeys Brewing Co,contract,455 S Pine St Ste 3,Madera,California,93637-5242,-120.0735866,36.94939346,California,93637,7148,,"40,202",56,22,20%,16045,7858,28202,6334,465,886,1192
Three Mugs Brewing Company,micro,2020 NE Aloclek Dr Ste 108,Hillsboro,Oregon,97124-8053,-122.8989638,45.53469242,Oregon,97124,7149,,"53,487",464,179,28%,26810,14868,43992,14472,645,1252,5086
Three Notch'd Brewing Company,micro,520 2nd St SE,Charlottesville,Virginia,22902-5794,-78.4820248,38.0261159,Virginia,22902,7150,,"22,457",152,59,29%,11901,6410,42217,8959,340,791,4094
Three Notch'd RVA Collab House,micro,2930 W Broad St,Richmond,Virginia,23230-5114,-77.47194883,37.56369964,Virginia,23230,7151,,"8,263",671,259,23%,3729,1896,40331,2710,36,178,1809
Three Notch'd Sour House,micro,520 2nd St SE,Charlottesville,Virginia,22902-5794,-78.4820248,38.0261159,Virginia,22902,7152,,"22,457",152,59,29%,11901,6410,42217,8959,340,791,4094
Three Notch'd Valley Collab House,micro,241 E Market St,Harrisonburg,Virginia,22801,-78.8654965,38.4487621,Virginia,22801,7153,,"40,460",429,165,16%,12230,6616,25932,11467,514,922,5668
Pinehurst Resort,planning,,Pinehurst,North Carolina,28374,-79.46654106,35.19372834,North Carolina,28374,5478,INCOMPLETE,,342,132,,,,,,,,
Pismo Brewing Co,micro,500 Cypress St,Pismo Beach,California,93449-2624,-120.6409192,35.13908295,California,93449,5498,INCOMPLETE,,314,121,,,,,,,,
Three Rivers Eatery and Brewery,brewpub,101 E Main St,Farmington,New Mexico,87401-2701,-108.205192,36.729011,New Mexico,87401,7158,,"44,724",138,53,20%,17522,8962,25458,9807,817,984,3261
Three Spirits Brewery,micro,5046 Old Pineville Rd Ste 200,Charlotte,North Carolina,28217-3033,-80.87842302,35.1718311,North Carolina,28217,7159,,"28,955",810,313,29%,14689,8370,29242,3582,339,478,1809
Three Stacks and A Rock Brewing Co,brewpub,3118 Main St Ste D,Morro Bay,California,93442-1346,-120.8526982,35.36398667,California,93442,7160,,"11,390",98,38,17%,3800,1940,42493,4439,166,335,1912
Three Taverns Craft Brewery,micro,121 New St,Decatur,Georgia,30030-4131,-84.28488078,33.77305517,Georgia,30030,7161,,"32,364","1,826",705,20%,13388,6482,63206,8974,127,513,3118
Three Tigers Brewing Company,brewpub,140 N Prospect St,Granville,Ohio,43023-1337,-82.51826713,40.06839886,Ohio,43023,7162,,"14,462",113,44,17%,4221,2440,37945,4413,169,188,910
Three Twenty Brewing Co.,micro,135 5th St SE,Pine City,Minnesota,55063-1510,-92.96974968,45.82796556,Minnesota,55063,7163,,"9,236",23,9,20%,3410,1836,34092,3706,154,314,1430
Three Weavers Brewing Company,micro,1031 W Manchester Blvd Unit A-B,Inglewood,California,90301-1509,-118.3746452,33.96138274,California,90301,7164,,"36,270","5,991",2313,24%,16220,8734,25829,2553,188,406,636
"Threefoot Brewing Company, LLC",contract,4010 23rd Avenue,Meridian,Mississippi,39305,-88.7010359,32.4001022,Mississippi,39305,7165,,"19,809",81,31,20%,8311,3940,30105,4993,177,394,1434
Threes Brewing,micro,333 Douglass St,Brooklyn,New York,11217-3115,-73.9821529,40.6798144,New York,11217,7166,,"42,417","22,061",8518,26%,23980,11212,68574,10847,211,553,5592
Carolina Brewery - Pittsboro,micro,120 Lowes Dr Ste 100,Pittsboro,North Carolina,27312-8872,-79.1652429,35.7438093,North Carolina,27312,1568,INCOMPLETE,,52,20,,,,,,,,
Thunderhawk Alements,micro,8675 Miralani Dr Ste 100,San Diego,California,92126-4355,-117.137467,32.89575006,California,92126,7172,,"74,788","2,603",1005,26%,35604,19324,41818,9540,512,711,2799
Thunderhead Brewing Co,brewpub,18 E 21st St,Kearney,Nebraska,68847-5402,-99.080732,40.69665183,Nebraska,68847,7173,,"18,458",59,23,19%,6521,3503,31808,6509,146,715,2831
NAZZ'D Brew Works and Pub,planning,,Pittsboro,North Carolina,27312,-79.16892937,35.76533025,North Carolina,27312,4888,INCOMPLETE,,52,20,,,,,,,,
Tideland Brewing,micro,4155 Dorchester Rd,North Charleston,South Carolina,29405,-80.00236,32.85328,South Carolina,29405,7175,,"25,620",765,295,26%,12391,6614,25142,4234,157,376,2291
"Bruery, The",micro,717 Dunn Way,Placentia,California,92870-6806,-117.8791616,33.8623093,California,92870,1402,INCOMPLETE,,"3,049",1177,,,,,,,,
Offshoot Beer Co.,micro,737 Dunn Way,Placentia,California,92870,-117.880182,33.86112597,California,92870,5132,INCOMPLETE,,"3,049",1177,,,,,,,,
Tight Lines Pub,brewpub,709 Arendell St,Morehead City,North Carolina,28557-4214,-76.71168962,34.72107454,North Carolina,28557,7178,,"14,910",405,156,18%,5292,2733,34635,6411,109,458,2882
Tighthead Brewing Co,micro,161 N Archer Ave,Mundelein,Illinois,60060-2301,-88.00117584,42.26626399,Illinois,60060,7179,,"37,599",617,238,23%,14815,8530,42835,9944,234,719,2773
Tilt Wurks Brewhouse & Casino,micro,420 Pacific Ave,Miles City,Montana,59301-4000,-105.8508049,46.40206641,Montana,59301,7180,,"11,509",2,1,19%,4175,2136,30350,4397,170,333,1795
Tilted Axis Brewing Company,brewpub,303 W Nepessing St,Lapeer,Michigan,48446-2105,-83.31247549,43.05377576,Michigan,48446,7181,,"30,788",97,37,20%,11169,6253,32323,11692,662,1212,3949
Tilted Barn Brewery,micro,1 Helmsley Pl,Exeter,Rhode Island,02822-3740,-71.523075,41.554186,Rhode Island,2822,7182,,"5,960",44,17,17%,2074,994,33640,1910,57,100,523
Tilted Barrel Brew Pub,contract,110 E 29th St,Loveland,Colorado,80538,-105.0773167,40.42158016,Colorado,80538,7183,,"49,084",189,73,19%,18692,9516,39097,19164,529,1204,6719
