City_ID,NAME,state,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64,income_household,income_household_median,income_family_median,income_nonfamily_median,earnings_median,employment_total,employment_male,employment_female,occupancy_status_total,occupancy_status_occupied,occupancy_status_vacant
1199,"Holyoke city, Massachusetts",25,30840,37927,17810,20117,36.8,39.0,34.1,88511,10563,12863,12836,10709,8154,19541,45603,48349,27925,35205,92421,9830,11371,15413,14005,1408
1200,"Lawrence city, Massachusetts",25,34550,88511,41450,47061,31.0,30.5,31.9,43610,4585,5433,5962,4738,7155,12094,49087,82384,40096,28864,80691,27332,30552,31378,30366,1012
1201,"Leominster city, Massachusetts",25,35075,43610,22980,20630,40.4,39.5,42.5,34075,1315,1652,4591,5543,4067,42577,67122,228774,43453,48078,54192,14969,13463,21114,19541,1573
1202,"Lexington CDP, Massachusetts",25,35250,34075,15940,18135,45.7,46.1,45.0,114005,14060,16847,13397,12860,16878,37304,205569,75841,45815,104559,34124,8643,9635,12213,12094,119
1203,"Lowell city, Massachusetts",25,37000,114005,54912,59093,36.3,34.8,37.8,100831,8932,13809,15269,12397,13058,26386,64221,83980,32395,34450,55953,37792,38985,44466,42577,1889
1204,"Lynn city, Massachusetts",25,37490,100831,50353,50478,37.8,33.9,40.7,65057,5271,13933,10860,8186,6615,17630,64986,96380,30864,41249,24027,35343,31432,39222,37304,1918
1205,"Malden city, Massachusetts",25,37875,65057,31645,33412,36.4,35.2,37.5,41118,2767,7610,6045,4637,6395,25462,86410,97483,71047,50326,41387,23952,21970,28151,26386,1765
1206,"Marlborough city, Massachusetts",25,38715,41118,20819,20299,38.2,38.3,38.1,62105,7325,15920,9129,6473,5241,12040,79579,135718,31996,45126,24291,14712,13202,18772,17630,1142
1207,"Medford city, Massachusetts",25,39835,62105,29536,32569,35.3,35.3,35.4,29315,1113,3262,4304,5002,4444,18582,120955,171794,45889,63570,21002,21621,23412,27113,25462,1651
1208,"Melrose city, Massachusetts",25,40115,29315,13776,15539,44.7,44.0,47.2,52804,5133,6662,7309,6971,6440,10378,140270,91732,39555,78679,23212,9523,9489,12040,12040,0
